epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7617,0.6764,1.62119,2.8623,0.96061,0,0.00351,0.92063,0.64238,0.60283,0.00339,0.89683,0.6388,0.59609,0.39092,1.34847,2.56321,0.8169,0,0.00034296,0.00034296,0.00034296
2,24.4259,0.53799,1.13218,1.50838,0.89305,0,0.94327,0.37202,0.85353,0.76604,0.94327,0.37202,0.84681,0.78396,0.4929,1.52395,2.29182,0.83992,0,0.000693278,0.000693278,0.000693278
3,40.7068,0.55738,1.08236,1.41806,0.92786,0,0.83831,0.58039,0.78248,0.68855,0.83831,0.58039,0.78211,0.71531,0.46672,1.08528,1.76719,0.85908,0,0.00103652,0.00103652,0.00103652
4,45.4106,0.56083,0.94418,1.33277,0.9039,0,0.90047,0.82806,0.88016,0.79801,0.90047,0.82806,0.86738,0.69606,0.50273,2.29879,1.30262,0.84476,0,0.00137269,0.00137269,0.00137269
5,53.5112,0.55149,1.07289,1.14476,0.90639,0,0.93295,0.86225,0.89581,0.81808,0.93295,0.86225,0.89581,0.85964,0.41229,1.02743,0.95513,0.80919,0,0.00137241,0.00137241,0.00137241
6,62.9761,0.55031,0.95599,1.08204,0.92283,0,0.95747,0.89424,0.89703,0.81617,0.95747,0.89424,0.89698,0.85977,0.42003,0.75561,0.88617,0.825,0,0.00135826,0.00135826,0.00135826
7,77.6802,0.53958,0.92798,1.00092,0.89824,0,0.86145,0.90022,0.92354,0.86895,0.86145,0.90022,0.92347,0.86061,0.38317,0.96832,0.84921,0.79912,0,0.00134412,0.00134412,0.00134412
8,84.7648,0.50569,0.79757,0.93177,0.8836,0,0.95501,0.88095,0.91717,0.84491,0.95501,0.88095,0.91607,0.83961,0.40644,0.97364,1.33462,0.81814,0,0.00132997,0.00132997,0.00132997
9,100.195,0.48684,0.926,0.88844,0.8956,0,0.78109,0.61369,0.8189,0.65494,0.78109,0.61369,0.79775,0.59159,0.82354,1.89526,3.14462,1.01738,0,0.00131582,0.00131582,0.00131582
10,108.41,0.49255,0.92536,0.83738,0.89009,0,0.83167,0.83009,0.8092,0.70159,0.81016,0.8082,0.76256,0.68941,0.69752,1.03938,1.70248,1.05224,0,0.00130168,0.00130168,0.00130168
